21796388,https://en.wikipedia.org/wiki?curid=21796388,Airbag (disambiguation),Airbag is a device designed to inflate rapidly in a collision.          Airbag may also refer to:,[]
32796923,https://en.wikipedia.org/wiki?curid=32796923,National Commission for Radiation Protection of Ukraine,"The National Commission for Radiation Protection of Ukraine ""(NCRPU)"" is a permanent independent collegial supreme scientific expert advisory and consultative body on matters of radiation protection and radiation safety of Ukraine.          The main goal of NCRPU is to define common principles and criteria for radiation protection of human life and health from adverse effects of ionizing radiation.          In its activities NCRPU follows the Constitution of Ukraine, acts of the President and Cabinet of Ministers of Ukraine, the Concept of radiation protection of the population of Ukraine in connection with the Chornobyl catastrophe, the laws of Ukraine «On protection from the effects of ionizing radiation», «On use of nuclear energy and radiation safety», «On legal regime of territories affected by radioactive contamination following the Chornobyl catastrophe», «On the status and social protection of citizens affected by the Chornobyl catastrophe», other regulations and NCRPU's Statute.          In addition, NCRPU is based in its activity on recommendations and conclusions of international organizations of which Ukraine is a member and/or with whom it has agreements on cooperation in assessing the impact of ionizing radiation on human health and on radiation protection of the public.          Under its determined authority and competence NCRPU:          The National Commission for Radiation Protection of Ukraine was established by Decree of the Parliament of Ukraine (Verkhovna Rada) No. 95 of August 1, 1990, in accordance with the Declaration on State Sovereignty of Ukraine of July 16, 1990 to provide science-based approach to solving the problems of radiation protection, taking into account regional characteristics of the republic, increased participation in international cooperation on these issues. By resolutions of the Presidium of the Verkhovna Rada of Ukraine No. 791-XII of February 28, 1991 and No. 1461-XII of August 30, 1991 it was approved the Provisional Regulations on the NCRPU and its personal membership. Resolution of the Cabinet of Ministers of Ukraine No. 751-R of 16 November 1992 identified structure, staffing and logistical support NCRPU.          Verkhovna Rada elected an outstanding scientist, academician of the National Academy of Sciences, Doctor of Biological Sciences, Professor as the first Chairman of NCRPU (decree No. 798-XII of February 28, 1991).          Verkhovna Rada of Ukraine by its decree No. 675-XIV of May 19, 1999 approved the permanent Regulations of NCRPU and by Resolution No. 1530-III of 2 March 2000 a new NCRPU's personal membership accounting 30 members, including 8 academicians and corresponding members of the National Academy of Sciences of Ukraine and National Academy of Medical Sciences of Ukraine, 20 doctors of sciences.          In April 2009 Verkhovna Rada of Ukraine has defined its powers in the field of radiation protection, supplementing the Law of Ukraine «On protection from the effects of ionizing radiation» by Article No. 8-1, according to which the Regulations and personal membership of NCRPU are approved by the Verkhovna Rada. In 2009 pursuant to this provision of the Law, the Verkhovna Rada of Ukraine approved the new NCRPU's Regulations (Decree of the Verkhovna Rada of Ukraine No. 1630-VI of October 6, 2009). By the same decree was approved the Head of NCRPU.          By Resolution of the Verkhovna Rada of Ukraine «On the number of members and personal membership of the National Commission for Radiation Protection of Ukraine» of December 23, 2009 No. 1791-VI new 45 members, including 11 academicians and 6 members of the National Academies of Sciences of Ukraine, as well as 38 doctors and 5 PhDs, were approved.          On April 15, 2010 at its meeting NCRPU established committees (and working bodies) and approved by their personal membership.","['Nuclear energy in Ukraine', 'Radioactive waste', 'Independent agencies of the Ukrainian government']"
13767882,https://en.wikipedia.org/wiki?curid=13767882,Discovery Park of America,"Discovery Park of America is a museum, park and garden located in Union City, Tennessee. The park sits on of land off of Everett Boulevard, near the proposed Interstate 69. It features exhibits and activities on local history, nature, military history, art and science. See rest of page for more info.          Design commenced on the $100 million project in July 2008. In 2009 Boston-based architect Louis Siriani was hired to replace the first architect.          The park opened in November 2013. It was financed by Union City-based Robert E. and Jenny D. Kirkland Foundation, which has also has earmarked $2 million a year for 20 years to cover operating costs and buy exhibits.          Discovery Park features many galleries in the Discovery Center, the main building at Discovery Park. The center includes:","['Museums in Obion County, Tennessee', 'Douglas Cardinal buildings', 'Gardens in Tennessee', 'Science museums in Tennessee', 'History museums in Tennessee', 'Natural history museums in Tennessee', 'Museums established in 2013', 'Parks in Tennessee', '2013 establishments in Tennessee']"
24657692,https://en.wikipedia.org/wiki?curid=24657692,USS Idalis (SP-270),"USS ""Idalis"" (SP-270) was a United States Navy patrol vessel in commission from 1917 to 1919.          ""Idalis"" was built as a civilian motor yacht in 1908 by the Gas Engine and Power Company at Morris Heights in the Bronx, New York. Sources differ as to her original name; she either was built as ""Idalis"" and later was renamed ""Amalia IV"", or was built as ""Amalia IV"" and later renamed ""Idalis"". The U.S. Navy purchased her from her owner, Carl Reinschild of New York City, in June 1917 for World War I service. She was commissioned on 25 August 1917 as USS ""Idalis"" (SP-270) -- that name representing the Navy either retaining her existing name or reverting her from ""Amalia IV"" to her previous name—with Lieutenant G. C. Fry, USNRF, in command          Assigned to the 3rd Naval District, ""Idalis"" served as a patrol craft in Long Island Sound and as training ship for officers at the Naval Reserve Training School Pelham Bay Park at Pelham Bay Park, New York, until the close of World War I.          ""Idalis"" was returned to Reinschild on 22 March 1919.","['Patrol vessels of the United States Navy', 'World War I patrol vessels of the United States', 'World War I auxiliary ships of the United States', 'Individual yachts', 'Ships built in New York', '1908 ships']"
32713744,https://en.wikipedia.org/wiki?curid=32713744,Roberto Castillo Guerrero,"Roberto Jesús Castillo Guerrero (born January 5, 1984 in Santiago, Chile) is a Chilean footballer currently playing for Deportes Antofagasta of the Primera División in Chile.","['1984 births', 'Living people', 'Chilean footballers', 'Club Deportivo Palestino players', 'Deportes La Serena players', 'Everton de Vi\xc3\xb1a del Mar players', 'Deportes Antofagasta players', 'Campeonato Nacional (Chile) players', 'Primera B de Chile players']"
5991444,https://en.wikipedia.org/wiki?curid=5991444,Today (Poe song),"""Today"" is a song Poe contributed to the soundtrack of the film ""Great Expectations"" in 1998. The song was released as a single in order to promote the film and soundtrack.","['Poe (singer) songs', '1998 singles']"
15110370,https://en.wikipedia.org/wiki?curid=15110370,Roman Catholic Archdiocese of Veszprém,"The Roman Catholic Archdiocese of Veszprém (, ) is an Archdiocese of the Latin Rite of the Roman Catholic Church in Hungary. Believed to have been established in 1009 AD by King Stephen I of Hungary, as the Diocese of Veszprém, the diocese was originally a suffragan to the Archdiocese of Esztergom. In 1992, the Diocese was elevated to an Archdiocese. The Archdiocese is the Metropolitan of the Diocese of Kaposvár and the Diocese of Szombathely.          The Cathedral of Veszprém is dedicated to Saint Michael. The current archbishop is Gyula Márfi who was appointed in 1997.          The circumstances of the establishment of the episcopal see in Veszprém are still under debate. It is probable that Veszprém was the habitual residence of Bishop Bruno, who had been sent to evangelise the Magyars in 972; but it was probably only in 1009 when King Stephen I of Hungary issued the Deed of Foundation of the Diocese of Veszprém. Based on the Deed of Foundation, the territory of the Diocese of Veszprém extended over the territories of the Counties of Veszprém, Fejér, Visegrád and Kolon. The Diocese of Veszprém was suffragan to the Archdiocese of Esztergom.          When the Abbey of Pannonhalma was established in 1001, King Stephen I granted the tithes of the County of Somogy to the Abbey, but the county itself still belonged to the Diocese of Veszprém.          The diocese was linked traditionally to the queen consort. Thus, the ""ius patronatus"" of the Cathedral in Veszprém was due to not only the king of Hungary but also his wife.          Based on the tradition, the bishop of Veszprém was entitled to crown queens of Hungary, and this tradition was confirmed by an agreement between Bishop Robert of Veszprém and Archbishop János of Esztergom in April 1216.          The bishop of Veszprém became also the queen's chancellor . The first bishop of Veszprém who used the title was Bertalan, Bishop of Veszprém, and in 1269 King Béla IV confirmed that the title was connected to the bishopric.          In the year 1294, Queen Fenenna confirmed that, at that time, Dowager Queen Elizabeth had the privilege to collect the donations of the church in the Veszprém County, despite being a former queen.          On 26 October 1313, King Charles I and Bishop Stephen Kéki concluded an agreement under which the Bishop ceded the tithe of Csepel Island to the King in exchange for the County of Veszprém. The agreement was confirmed, in 1392, by King Sigismund; therefore the bishops of Veszprém became also the perpetual ispáns of Veszprém.          http://www.catholic-hierarchy.org/diocese/dvesz.html","['History of Christianity in Hungary', 'Roman Catholic dioceses in Hungary', 'Roman Catholic Ecclesiastical Province of Veszpr\xc3\xa9m', 'Roman Catholic ecclesiastical provinces in Hungary', '1009 establishments']"
27309039,https://en.wikipedia.org/wiki?curid=27309039,Bert Blue,"Bird Wayne ""Bert"" Blue (December 9, 1877 – September 2, 1929) was a professional baseball player. He was a catcher for one season (1908) with the St. Louis Browns and Philadelphia Athletics. For his career, he compiled a .286 batting average in 42 at-bats, with two runs batted in.          He was born in Bettsville, Ohio and later died in Detroit at the age of 51. he was Buried: Woodlawn Cemetery, Detroit, Michigan ","['1877 births', '1929 deaths', 'St. Louis Browns players', 'Philadelphia Athletics players', 'Major League Baseball catchers', 'Baseball players from Ohio', 'Birmingham Barons players', 'Columbus Senators players', 'Richmond Rebels players']"
6142394,https://en.wikipedia.org/wiki?curid=6142394,New York Empire,New York Empire may refer to:,[]
37662239,https://en.wikipedia.org/wiki?curid=37662239,Chah-e Ahmad,Chah-e Ahmad or Chah Ahmad () may refer to:,[]
49109790,https://en.wikipedia.org/wiki?curid=49109790,Dennis Cronin,"Dennis Cronin (born 30 October 1967 in Altrincham) is a former English professional football player.           Cronin signed a professional contract with Manchester United on his 17th birthday. He was part of the FA Youth Cup team that played Manchester City in the 1986 FA Youth Cup Final.           In the summer of 1987, Cronin was released by Manchester United and joined Stockport County where he was to spend the next season. He made 15 league appearances and transferred to Crewe Alexandra the following summer before moving to non-league Northwich Victoria.","['1967 births', 'Living people', 'English footballers', 'Manchester United F.C. players', 'Stockport County F.C. players', 'Crewe Alexandra F.C. players', 'The Football League players']"
